crop,product,hindi_crop,hindi_product,kannada_crop,kannada_product,telugu_crop,telugu_product,malayalam_crop,malayalam_product,tamil_crop,tamil_product,marathi_crop,marathi_product,gujarati_crop,gujarati_product,punjabi_crop,punjabi_product,bengali_crop,bengali_product,assamese_crop,assamese_product,odia_crop,odia_product
Watermelon,Yellow Munch,तरबूज,येलो मंच,ಕಲ್ಲಂಗಡಿ,ಯೇಲೋ ಮಂಚ,పుచ్చకాయ,యేలో మంచ,തണ്ണിമത്തൻ,യേലോ മംച,தர்பூசணி,யேலோ மஞ்ச,कलिंगड,येलो मंच,તરબૂચ,યેલો મંચ,ਤਰਬੂਜ਼,ਯੇਲੋ ਮਂਚ,তরমুজ,যেলো মংচ,তৰমুজ,যেলো মংচ,ତରଭୁଜ,ଯେଲୋ ମଂଚ
Watermelon,Andaman,तरबूज,अंडमान,ಕಲ್ಲಂಗಡಿ,ಅಂಡಮಾನ,పుచ్చకాయ,అండమాన,തണ്ണിമത്തൻ,അംഡമാന,தர்பூசணி,அண்டமாந,कलिंगड,अंडमान,તરબૂચ,અંડમાન,ਤਰਬੂਜ਼,ਅਂਡਮਾਨ,তরমুজ,অংডমান,তৰমুজ,অংডমান,ତରଭୁଜ,ଅଂଡମାନ
Cauliflower,White Angel,फूलगोभी,व्हाइट एंजेल,ಹೂಕೋಸು,ವ್ಹಾಇಟ ಏಂಜೇಲ,కాలీఫ్లవర్,వ్హాఇట ఏంజేల,കോളിഫ്ലവർ,വ്ഹാഇട ഏംജേല,காலிஃபிளவர்,வ்ஹாஇட ஏஞ்ஜேல,फुलकोबी,व्हाइट एंजेल,ફુલાવર,વ્હાઇટ એંજેલ,ਫੁੱਲ ਗੋਭੀ,ਵ੍ਹਾਇਟ ਏਂਜੇਲ,ফুলকপি,ব্হাইট এংজেল,ফুলকবি,ৱ্হাইট এংজেল,ଫୁଲକୋବି,ଵ୍ହାଇଟ ଏଂଜେଲ
Cauliflower,Sophie,फूलगोभी,सोफी,ಹೂಕೋಸು,ಸೋಫೀ,కాలీఫ్లవర్,సోఫీ,കോളിഫ്ലവർ,സോഫീ,காலிஃபிளவர்,ஸோபீ,फुलकोबी,सोफी,ફુલાવર,સોફી,ਫੁੱਲ ਗੋਭੀ,ਸੋਫੀ,ফুলকপি,সোফী,ফুলকবি,সোফী,ଫୁଲକୋବି,ସୋଫୀ
Onion,Prathamesh,प्याज,प्रथमेश,ಈರುಳ್ಳಿ,ಪ್ರಥಮೇಶ,ఉల్లిపాయ,ప్రథమేశ,സവാള,പ്രഥമേശ,வெங்காயம்,ப்ரதமேஶ,कांदा,प्रथमेश,ડુંગળી,પ્રથમેશ,ਪਿਆਜ਼,ਪ੍ਰਥਮੇਸ਼,পেঁয়াজ,প্রথমেশ,পিয়াঁজ,প্ৰথমেশ,ପିଆଜ,ପ୍ରଥମେଶ
Onion,Green Magic,प्याज,ग्रीन मैजिक,ಈರುಳ್ಳಿ,ಗ್ರೀನ ಮೈಜಿಕ,ఉల్లిపాయ,గ్రీన మైజిక,സവാള,ഗ്രീന മൈജിക,வெங்காயம்,க்ரீந மைஜிக,कांदा,ग्रीन मैजिक,ડુંગળી,ગ્રીન મૈજિક,ਪਿਆਜ਼,ਗ੍ਰੀਨ ਮੈਜਿਕ,পেঁয়াজ,গ্রীন মৈজিক,পিয়াঁজ,গ্ৰীন মৈজিক,ପିଆଜ,ଗ୍ରୀନ ମୈଜିକ
Cucumber,Jumbo Green,खीरा,जंबो ग्रीन,ಸೌತೆಕಾಯಿ,ಜಂಬೋ ಗ್ರೀನ,దోసకాయ,జంబో గ్రీన,വെള്ളരി,ജംബോ ഗ്രീന,வெள்ளரி,ஜம்போ க்ரீந,काकडी,जंबो ग्रीन,કાકડી,જંબો ગ્રીન,ਖੀਰਾ,ਜਂਬੋ ਗ੍ਰੀਨ,শসা,জংবো গ্রীন,তিয়ঁহ,জংবো গ্ৰীন,କାକୁଡ଼ି,ଜଂବୋ ଗ୍ରୀନ
Watermelon,Orange Munch,तरबूज,ऑरेंज मंच,ಕಲ್ಲಂಗಡಿ,ಆರೇಂಜ ಮಂಚ,పుచ్చకాయ,ఆరేంజ మంచ,തണ്ണിമത്തൻ,ആരേംജ മംച,தர்பூசணி,ஆரேஞ்ஜ மஞ்ச,कलिंगड,ऑरेंज मंच,તરબૂચ,આરેંજ મંચ,ਤਰਬੂਜ਼,ਆਰੇਂਜ ਮਂਚ,তরমুজ,আরেংজ মংচ,তৰমুজ,আৰেংজ মংচ,ତରଭୁଜ,ଆରେଂଜ ମଂଚ
Watermelon,Sugar Dew,तरबूज,शुगर ड्यू,ಕಲ್ಲಂಗಡಿ,ಶುಗರ ಡ್ಯೂ,పుచ్చకాయ,శుగర డ్యూ,തണ്ണിമത്തൻ,ശുഗര ഡ്യൂ,தர்பூசணி,ஶுகர ட்யூ,कलिंगड,शुगर ड्यू,તરબૂચ,શુગર ડ્યૂ,ਤਰਬੂਜ਼,ਸ਼ੁਗਰ ਡ੍ਯੂ,তরমুজ,শুগর ড্যূ,তৰমুজ,শুগৰ ড্যূ,ତରଭୁଜ,ଶୁଗର ଡ୍ଯୂ
Watermelon,Mandalay,तरबूज,मांडले,ಕಲ್ಲಂಗಡಿ,ಮಾಂಡಲೇ,పుచ్చకాయ,మాండలే,തണ്ണിമത്തൻ,മാംഡലേ,தர்பூசணி,மாண்டலே,कलिंगड,मांडले,તરબૂચ,માંડલે,ਤਰਬੂਜ਼,ਮਾਂਡਲੇ,তরমুজ,মাংডলে,তৰমুজ,মাংডলে,ତରଭୁଜ,ମାଂଡଲେ
Watermelon,Mukasa,तरबूज,मुकासा,ಕಲ್ಲಂಗಡಿ,ಮುಕಾಸಾ,పుచ్చకాయ,ముకాసా,തണ്ണിമത്തൻ,മുകാസാ,தர்பூசணி,முகாஸா,कलिंगड,मुकासा,તરબૂચ,મુકાસા,ਤਰਬੂਜ਼,ਮੁਕਾਸਾ,তরমুজ,মুকাসা,তৰমুজ,মুকাসা,ତରଭୁଜ,ମୁକାସା
Cucumber,Zeba,खीरा,जेबा,ಸೌತೆಕಾಯಿ,ಜೇಬಾ,దోసకాయ,జేబా,വെള്ളരി,ജേബാ,வெள்ளரி,ஜேபா,काकडी,जेबा,કાકડી,જેબા,ਖੀਰਾ,ਜੇਬਾ,শসা,জেবা,তিয়ঁহ,জেবা,କାକୁଡ଼ି,ଜେବା
Cucumber,Rushika,खीरा,रुशिका,ಸೌತೆಕಾಯಿ,ರುಶಿಕಾ,దోసకాయ,రుశికా,വെള്ളരി,രുശികാ,வெள்ளரி,ருஶிகா,काकडी,रुशिका,કાકડી,રુશિકા,ਖੀਰਾ,ਰੁਸ਼ਿਕਾ,শসা,রুশিকা,তিয়ঁহ,ৰুশিকা,କାକୁଡ଼ି,ରୁଶିକା
Luffa Angular,Navin,तोरई,नवीन,ಹೀರೆಕಾಯಿ,ನವೀನ,బీరకాయ,నవీన,പീച്ചിങ്ങ,നവീന,பீர்க்கங்காய்,நவீந,दोडका,नवीन,તુરિયા,નવીન,ਤੋਰੀ,ਨਵੀਨ,ঝিঙে,নবীন,জিকা,নৱীন,ଜହ୍ନି,ନଵୀନ
Cucumber,Swathi,खीरा,स्वाति,ಸೌತೆಕಾಯಿ,ಸ್ವಾತಿ,దోసకాయ,స్వాతి,വെള്ളരി,സ്വാതി,வெள்ளரி,ஸ்வாதி,काकडी,स्वाति,કાકડી,સ્વાતિ,ਖੀਰਾ,ਸ੍ਵਾਤਿ,শসা,স্বাতি,তিয়ঁহ,স্ৱাতি,କାକୁଡ଼ି,ସ୍ଵାତି
Marigold,Yellow King,गेंदा,येलो किंग,ಚೆಂಡು ಹೂವು,ಯೇಲೋ ಕಿಂಗ,బంతి పువ్వు,యేలో కింగ,ചെണ്ടുമല്ലി,യേലോ കിംഗ,செண்டு மலர்,யேலோ கிங்க,झेंडू,येलो किंग,ગલગોટા,યેલો કિંગ,ਗੇਂਦਾ,ਯੇਲੋ ਕਿਂਗ,গাঁদা,যেলো কিংগ,নাৰ্জী ফুল,যেলো কিংগ,ଗେଣ୍ଡୁ ଫୁଲ,ଯେଲୋ କିଂଗ
Marigold,Yellow Glory,गेंदा,येलो ग्लोरी,ಚೆಂಡು ಹೂವು,ಯೇಲೋ ಗ್ಲೋರೀ,బంతి పువ్వు,యేలో గ్లోరీ,ചെണ്ടുമല്ലി,യേലോ ഗ്ലോരീ,செண்டு மலர்,யேலோ க்லோரீ,झेंडू,येलो ग्लोरी,ગલગોટા,યેલો ગ્લોરી,ਗੇਂਦਾ,ਯੇਲੋ ਗ੍ਲੋਰੀ,গাঁদা,যেলো গ্লোরী,নাৰ্জী ফুল,যেলো গ্লোৰী,ଗେଣ୍ଡୁ ଫୁଲ,ଯେଲୋ ଗ୍ଲୋରୀ
Marigold,Bengal Orange,गेंदा,बंगाल ऑरेंज,ಚೆಂಡು ಹೂವು,ಬಂಗಾಲ ಆರೇಂಜ,బంతి పువ్వు,బంగాల ఆరేంజ,ചെണ്ടുമല്ലി,ബംഗാല ആരേംജ,செண்டு மலர்,பங்கால ஆரேஞ்ஜ,झेंडू,बंगाल ऑरेंज,ગલગોટા,બંગાલ આરેંજ,ਗੇਂਦਾ,ਬਂਗਾਲ ਆਰੇਂਜ,গাঁদা,বংগাল আরেংজ,নাৰ্জী ফুল,বংগাল আৰেংজ,ଗେଣ୍ଡୁ ଫୁଲ,ବଂଗାଲ ଆରେଂଜ
Marigold,Bengal Yellow,गेंदा,बंगाल येलो,ಚೆಂಡು ಹೂವು,ಬಂಗಾಲ ಯೇಲೋ,బంతి పువ్వు,బంగాల యేలో,ചെണ്ടുമല്ലി,ബംഗാല യേലോ,செண்டு மலர்,பங்கால யேலோ,झेंडू,बंगाल येलो,ગલગોટા,બંગાલ યેલો,ਗੇਂਦਾ,ਬਂਗਾਲ ਯੇਲੋ,গাঁদা,বংগাল যেলো,নাৰ্জী ফুল,বংগাল যেলো,ଗେଣ୍ଡୁ ଫୁଲ,ବଂଗାଲ ଯେଲୋ
Marigold,Super Yellow,गेंदा,सुपर येलो,ಚೆಂಡು ಹೂವು,ಸುಪರ ಯೇಲೋ,బంతి పువ్వు,సుపర యేలో,ചെണ്ടുമല്ലി,സുപര യേലോ,செண்டு மலர்,ஸுபர யேலோ,झेंडू,सुपर येलो,ગલગોટા,સુપર યેલો,ਗੇਂਦਾ,ਸੁਪਰ ਯੇਲੋ,গাঁদা,সুপর যেলো,নাৰ্জী ফুল,সুপৰ যেলো,ଗେଣ୍ଡୁ ଫୁଲ,ସୁପର ଯେଲୋ
Marigold,Super Orange,गेंदा,सुपर ऑरेंज,ಚೆಂಡು ಹೂವು,ಸುಪರ ಆರೇಂಜ,బంతి పువ్వు,సుపర ఆరేంజ,ചെണ്ടുമല്ലി,സുപര ആരേംജ,செண்டு மலர்,ஸுபர ஆரேஞ்ஜ,झेंडू,सुपर ऑरेंज,ગલગોટા,સુપર આરેંજ,ਗੇਂਦਾ,ਸੁਪਰ ਆਰੇਂਜ,গাঁদা,সুপর আরেংজ,নাৰ্জী ফুল,সুপৰ আৰেংজ,ଗେଣ୍ଡୁ ଫୁଲ,ସୁପର ଆରେଂଜ
Marigold,Apsara Yellow,गेंदा,अप्सरा येलो,ಚೆಂಡು ಹೂವು,ಅಪ್ಸರಾ ಯೇಲೋ,బంతి పువ్వు,అప్సరా యేలో,ചെണ്ടുമല്ലി,അപ്സരാ യേലോ,செண்டு மலர்,அப்ஸரா யேலோ,झेंडू,अप्सरा येलो,ગલગોટા,અપ્સરા યેલો,ਗੇਂਦਾ,ਅਪ੍ਸਰਾ ਯੇਲੋ,গাঁদা,অপ্সরা যেলো,নাৰ্জী ফুল,অপ্সৰা যেলো,ଗେଣ୍ଡୁ ଫୁଲ,ଅପ୍ସରା ଯେଲୋ
Cucumber,Muskan,खीरा,मुस्कान,ಸೌತೆಕಾಯಿ,ಮುಸ್ಕಾನ,దోసకాయ,ముస్కాన,വെള്ളരി,മുസ്കാന,வெள்ளரி,முஸ்காந,काकडी,मुस्कान,કાકડી,મુસ્કાન,ਖੀਰਾ,ਮੁਸ੍ਕਾਨ,শসা,মুস্কান,তিয়ঁহ,মুস্কান,କାକୁଡ଼ି,ମୁସ୍କାନ
Pumpkin,EW 238,कद्दू,ईडब्ल्यू 238,ಕುಂಬಳಕಾಯಿ,ಈಡಬ್ಲ್ಯೂ 238,గుమ్మడికాయ,ఈడబ్ల్యూ 238,മത്തങ്ങ,ഈഡബ്ല്യൂ 238,பரங்கிக்காய்,ஈடப்ல்யூ 238,लाल भोपळा,ईडब्ल्यू 238,કોળું,ઈડબ્લ્યૂ 238,ਕੱਦੂ,ਈਡਬ੍ਲ੍ਯੂ 238,মিষ্টি কুমড়া,ঈডব্ল্যূ 238,ৰঙালাউ,ঈডব্ল্যূ 238,କଖାରୁ,ଈଡବ୍ଲ୍ଯୂ 238
Hot Pepper,Nimadi,मिर्च,निमाड़ी,ಮೆಣಸಿನಕಾಯಿ,ನಿಮಾಡೀ,మిరపకాయ,నిమాడీ,മുളക്,നിമാഡീ,மிளகாய்,நிமாடீ,मिरची,निमाड़ी,મરચાં,નિમાડી,ਮਿਰਚ,ਨਿਮਾਡੀ,লঙ্কা,নিমাডী,জলকীয়া,নিমাডী,ଲଙ୍କା,ନିମାଡୀ
Yard Long Beans,Green Thunder,बरबटी,ग्रीन थंडर,ಅಲಸಂದೆ,ಗ್ರೀನ ಥಂಡರ,అలసంద కాయ,గ్రీన థండర,അച്ചിങ്ങ പയർ,ഗ്രീന ഥംഡര,காராமணிக்காய்,க்ரீந தண்டர,चवळी शेंगा,ग्रीन थंडर,ચોળી,ગ્રીન થંડર,ਲੋਬੀਆ ਫਲੀ,ਗ੍ਰੀਨ ਥਂਡਰ,বরবটি,গ্রীন থংডর,উৰহী,গ্ৰীন থংডৰ,ଝୁଡ଼ଙ୍ଗ,ଗ୍ରୀନ ଥଂଡର
Egg Plant,Meghna,बैंगन,मेघना,ಬದನೆಕಾಯಿ,ಮೇಘನಾ,వంకాయ,మేఘనా,വഴുതന,മേഘനാ,கத்தரிக்காய்,மேகநா,वांगे,मेघना,રીંગણ,મેઘના,ਬੈਂਗਣ,ਮੇਘਨਾ,বেগুন,মেঘনা,বেঙেনা,মেঘনা,ବାଇଗଣ,ମେଘନା
Egg Plant,Lalita,बैंगन,ललिता,ಬದನೆಕಾಯಿ,ಲಲಿತಾ,వంకాయ,లలితా,വഴുതന,ലലിതാ,கத்தரிக்காய்,லலிதா,वांगे,ललिता,રીંગણ,લલિતા,ਬੈਂਗਣ,ਲਲਿਤਾ,বেগুন,ললিতা,বেঙেনা,ললিতা,ବାଇଗଣ,ଲଲିତା
Papaya,Sinta,पपीता,सिंटा,ಪಪ್ಪಾಯಿ,ಸಿಂಟಾ,బొప్పాయి,సింటా,പപ്പായ,സിംടാ,பப்பாளி,ஸிண்டா,पपई,सिंटा,પપૈયું,સિંટા,ਪਪੀਤਾ,ਸਿਂਟਾ,পেঁপে,সিংটা,অমিতা,সিংটা,ଅମୃତଭଣ୍ଡା,ସିଂଟା
Papaya,Lunar,पपीता,लूनर,ಪಪ್ಪಾಯಿ,ಲೂನರ,బొప్పాయి,లూనర,പപ്പായ,ലൂനര,பப்பாளி,லூநர,पपई,लूनर,પપૈયું,લૂનર,ਪਪੀਤਾ,ਲੂਨਰ,পেঁপে,লূনর,অমিতা,লূনৰ,ଅମୃତଭଣ୍ଡା,ଲୂନର
Beetroot,Jolly Red,चुकंदर,जॉली रेड,ಬೀಟ್ರೂಟ್,ಜಾಲೀ ರೇಡ,బీట్రూట్,జాలీ రేడ,ബീറ്റ്റൂട്ട്,ജാലീ രേഡ,பீட்ரூட்,ஜாலீ ரேட,बीट,जॉली रेड,બીટ,જાલી રેડ,ਚੁਕੰਦਰ,ਜਾਲੀ ਰੇਡ,বিট,জালী রেড,বিট,জালী ৰেড,ବିଟ,ଜାଲୀ ରେଡ
Papaya,Red Royal,पपीता,रेड रॉयल,ಪಪ್ಪಾಯಿ,ರೇಡ ರಾಯಲ,బొప్పాయి,రేడ రాయల,പപ്പായ,രേഡ രായല,பப்பாளி,ரேட ராயல,पपई,रेड रॉयल,પપૈયું,રેડ રાયલ,ਪਪੀਤਾ,ਰੇਡ ਰਾਯਲ,পেঁপে,রেড রায়ল,অমিতা,ৰেড ৰায়ল,ଅମୃତଭଣ୍ଡା,ରେଡ ରାଯଲ
Papaya,Sapna,पपीता,सपना,ಪಪ್ಪಾಯಿ,ಸಪನಾ,బొప్పాయి,సపనా,പപ്പായ,സപനാ,பப்பாளி,ஸபநா,पपई,सपना,પપૈયું,સપના,ਪਪੀਤਾ,ਸਪਨਾ,পেঁপে,সপনা,অমিতা,সপনা,ଅମୃତଭଣ୍ଡା,ସପନା
Sweet Pepper,Kaveri,शिमला मिर्च,कावेरी,ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಕಾವೇರೀ,క్యాప్సికం,కావేరీ,കാപ്സിക്കം,കാവേരീ,குடை மிளகாய்,காவேரீ,ढोबळी मिरची,कावेरी,શિમલા મરચું,કાવેરી,ਸ਼ਿਮਲਾ ਮਿਰਚ,ਕਾਵੇਰੀ,ক্যাপসিকাম,কাবেরী,কেপচিকাম,কাৱেৰী,କ୍ୟାପସିକମ,କାଵେରୀ
Sponge Gourd,Meira,चिकनी तोरई,मीरा,ತುಪ್ಪದ ಹೀರೆಕಾಯಿ,ಮೀರಾ,నేతి బీరకాయ,మీరా,മിനുസമുള്ള പീച്ചിങ്ങ,മീരാ,மிருதுவான பீர்க்கங்காய்,மீரா,घोसाळे,मीरा,ગલકા,મીરા,ਘੀਆ ਤੋਰੀ,ਮੀਰਾ,ধুন্দুল,মীরা,ভোল,মীৰা,ଚିକ୍କଣ ଜହ୍ନି,ମୀରା
Cucumber,Smera,खीरा,स्मेरा,ಸೌತೆಕಾಯಿ,ಸ್ಮೇರಾ,దోసకాయ,స్మేరా,വെള്ളരി,സ്മേരാ,வெள்ளரி,ஸ்மேரா,काकडी,स्मेरा,કાકડી,સ્મેરા,ਖੀਰਾ,ਸ੍ਮੇਰਾ,শসা,স্মেরা,তিয়ঁহ,স্মেৰা,କାକୁଡ଼ି,ସ୍ମେରା
Sweet Corn,Golden Candy,स्वीट कॉर्न,गोल्डन कैंडी,ಸಿಹಿ ಜೋಳ,ಗೋಲ್ಡನ ಕೈಂಡೀ,తీపి మొక్కజొన్న,గోల్డన కైండీ,മധുര ചോളം,ഗോല്ഡന കൈംഡീ,இனிப்பு சோளம்,கோல்டந கைண்டீ,स्वीट कॉर्न,गोल्डन कैंडी,મીઠી મકાઈ,ગોલ્ડન કૈંડી,ਮਿੱਠੀ ਮੱਕੀ,ਗੋਲ੍ਡਨ ਕੈਂਡੀ,মিষ্টি ভুট্টা,গোল্ডন কৈংডী,মিঠা মাকৈ,গোল্ডন কৈংডী,ମିଠା ମକା,ଗୋଲ୍ଡନ କୈଂଡୀ
Bitter Gourd,Vedansh,करेला,वेदांश,ಹಾಗಲಕಾಯಿ,ವೇದಾಂಶ,కాకరకాయ,వేదాంశ,പാവയ്ക്ക,വേദാംശ,பாகற்காய்,வேதாந்ஶ,कारले,वेदांश,કારેલા,વેદાંશ,ਕਰੇਲਾ,ਵੇਦਾਂਸ਼,করলা,বেদাংশ,কেৰেলা,ৱেদাংশ,କଲରା,ଵେଦାଂଶ
Okra,Rockstar,भिंडी,रॉकस्टार,ಬೆಂಡೆಕಾಯಿ,ರಾಕಸ್ಟಾರ,బెండకాయ,రాకస్టార,വെണ്ടയ്ക്ക,രാകസ്ടാര,வெண்டைக்காய்,ராகஸ்டார,भेंडी,रॉकस्टार,ભીંડા,રાકસ્ટાર,ਭਿੰਡੀ,ਰਾਕਸ੍ਟਾਰ,ঢেঁড়স,রাকস্টার,ভেণ্ডি,ৰাকস্টাৰ,ଭେଣ୍ଡି,ରାକସ୍ଟାର