English,Hindi (हिन्दी),Kannada (ಕನ್ನಡ),Telugu (తెలుగు),Malayalam (മലയാളം),Tamil (தமிழ்),Marathi (मराठी),Gujarati (ગુજરાતી),Punjabi (ਪੰਜਾਬੀ),Bengali (বাংলা),Assamese (অসমীয়া),Odia (ଓଡ଼ିଆ),
Please select your preferred language.,कृपया अपनी पसंदीदा भाषा चुनें।,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಇಚ್ಛಿತ ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,దయచేసి మీకు ఇష్టమైన భాషను ఎంచుకోండి.,ദയവായി നിങ്ങളുടെ ഇഷ്ടഭാഷ തിരഞ്ഞെടുക്കുക.,தயவுசெய்து உங்கள் விருப்பமான மொழியைத் தேர்ந்தெடுக்கவும்.,कृपया आपली पसंतीची भाषा निवडा.,કૃપા કરીને તમારી પસંદગીની ભાષા પસંદ કરો.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੀ ਪਸੰਦੀਦਾ ਭਾਸ਼ਾ ਚੁਣੋ।,অনুগ্রহ করে আপনার পছন্দের ভাষা নির্বাচন করুন।,অনুগ্ৰহ কৰি আপোনাৰ পছন্দৰ ভাষা বাছনি কৰক।,ଦୟାକରି ଆପଣଙ୍କ ପସନ୍ଦର ଭାଷା ବାଛନ୍ତୁ।,
Enter your 10-digit Mobile Number,अपना 10 अंकों का मोबाइल नंबर दर्ज करें।,ನಿಮ್ಮ 10 ಅಂಕಿಯ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ.,మీ 10 అంకెల మొబైల్ నంబర్‌ను నమోదు చేయండి.,നിങ്ങളുടെ 10 അക്ക മൊബൈൽ നമ്പർ നൽകുക.,உங்கள் 10 இலக்க மொபைல் எண்ணை உள்ளிடவும்.,तुमचा 10 अंकी मोबाईल क्रमांक प्रविष्ट करा.,તમારો 10 અંકનો મોબાઇલ નંબર દાખલ કરો.,ਆਪਣਾ 10 ਅੰਕਾਂ ਵਾਲਾ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ।,আপনার ১০ সংখ্যার মোবাইল নম্বর লিখুন।,আপোনাৰ ১০ সংখ্যাৰ মোবাইল নম্বৰ লিখক।,ଆପଣଙ୍କ 10 ଅଙ୍କର ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରନ୍ତୁ।,
Enter Farmer Name,किसान का नाम दर्ज करें।,ರೈತನ ಹೆಸರನ್ನು ನಮೂದಿಸಿ.,రైతు పేరును నమోదు చేయండి.,കർഷകന്റെ പേര് നൽകുക.,விவசாயியின் பெயரை உள்ளிடவும்.,शेतकऱ्याचे नाव प्रविष्ट करा.,ખેડૂતનું નામ દાખલ કરો.,ਕਿਸਾਨ ਦਾ ਨਾਮ ਦਰਜ ਕਰੋ।,কৃষকের নাম লিখুন।,কৃষকৰ নাম লিখক।,କୃଷକଙ୍କ ନାମ ପ୍ରବେଶ କରନ୍ତୁ।,
Select Crop,फसल चुनें।,ಬೆಳೆ ಆಯ್ಕೆಮಾಡಿ.,పంటను ఎంచుకోండి.,വിള തിരഞ്ഞെടുക്കുക.,பயிரைத் தேர்ந்தெடுக்கவும்.,पीक निवडा.,પાક પસંદ કરો.,ਫਸਲ ਚੁਣੋ।,ফসল নির্বাচন করুন।,শস্য বাছনি কৰক।,ଫସଲ ବାଛନ୍ତୁ।,
Select Product,उत्पाद चुनें।,ಉತ್ಪನ್ನವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ఉత్పత్తిని ఎంచుకోండి.,ഉൽപ്പന്നം തിരഞ്ഞെടുക്കുക.,தயாரிப்பைத் தேர்ந்தெடுக்கவும்.,उत्पादन निवडा.,ઉત્પાદન પસંદ કરો.,ਉਤਪਾਦ ਚੁਣੋ।,পণ্য নির্বাচন করুন।,পণ্য বাছনি কৰক।,ଉତ୍ପାଦ ବାଛନ୍ତୁ।,
Select State,राज्य चुनें।,ರಾಜ್ಯವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,రాష్ట్రాన్ని ఎంచుకోండి.,സംസ്ഥാനം തിരഞ്ഞെടുക്കുക.,மாநிலத்தைத் தேர்ந்தெடுக்கவும்.,राज्य निवडा.,રાજ્ય પસંદ કરો.,ਰਾਜ ਚੁਣੋ।,রাজ্য নির্বাচন করুন।,ৰাজ্য বাছনি কৰক।,ରାଜ୍ୟ ବାଛନ୍ତୁ।,
Select District,जिला चुनें।,ಜಿಲ್ಲೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,జిల్లాను ఎంచుకోండి.,ജില്ല തിരഞ്ഞെടുക്കുക.,மாவட்டத்தைத் தேர்ந்தெடுக்கவும்.,जिल्हा निवडा.,જિલ્લો પસંદ કરો.,ਜ਼ਿਲ੍ਹਾ ਚੁਣੋ।,জেলা নির্বাচন করুন।,জিলা বাছনি কৰক।,ଜିଲ୍ଲା ବାଛନ୍ତୁ।,
Thank You,धन्यवाद,ಧನ್ಯವಾದಗಳು,ధన్యవాదాలు,നന്ദി,நன்றி,धन्यवाद,આભાર,ਧੰਨਵਾਦ,ধন্যবাদ,ধন্যবাদ,ଧନ୍ୟବାଦ,
Your details have been successfully submitted.,आपका विवरण सफलतापूर्वक सबमिट कर दिया गया है।,ನಿಮ್ಮ ವಿವರಗಳನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸಲ್ಲಿಸಲಾಗಿದೆ.,మీ వివరాలు విజయవంతంగా సమర్పించబడ్డాయి.,നിങ്ങളുടെ വിവരങ്ങൾ വിജയകരമായി സമർപ്പിച്ചു.,உங்கள் விவரங்கள் வெற்றிகரமாக சமர்ப்பிக்கப்பட்டன.,तुमचा तपशील यशस्वीरित्या सबमिट केला गेला आहे.,તમારી વિગતો સફળતાપૂર્વક સબમિટ કરવામાં આવી છે.,ਤੁਹਾਡੇ ਵੇਰਵੇ ਸਫਲਤਾਪੂਰਵਕ ਜਮ੍ਹਾਂ ਕਰ ਦਿੱਤੇ ਗਏ ਹਨ।,আপনার বিবরণ সফলভাবে জমা দেওয়া হয়েছে।,আপোনাৰ সৱিশেষ সফলতাৰে জমা কৰা হৈছে।,ଆପଣଙ୍କର ବିବରଣୀ ସଫଳତାର ସହିତ ଦାଖଲ କରାଯାଇଛି।,
Others,अन्य,ಇತರೆ,ఇతరులు,മറ്റുള്ളവ,மற்றவை,इतर,અન્ય,ਹੋਰ,অন্যান্য,অন্যান্য,ଅନ୍ୟାନ୍ୟ,
Please specify the product,कृपया उत्पाद निर्दिष्ट करें,ದಯವಿಟ್ಟು ಉತ್ಪನ್ನವನ್ನು ನಿರ್ದಿಷ್ಟಪಡಿಸಿ,దయచేసి ఉత్పత్తిని పేర్కొనండి,ദയവായി ഉൽപ്പന്നം വ്യക്തമാക്കുക,தயவுசெய்து தயாரிப்பை குறிப்பிடவும்,कृपया उत्पादन निर्दिष्ट करा,કૃપા કરીને ઉત્પાદનનો ઉલ્લેખ કરો,ਕਿਰਪਾ ਕਰਕੇ ਉਤਪਾਦ ਨਿਰਧਾਰਤ ਕਰੋ,অনুগ্রহ করে পণ্য নির্দিষ্ট করুন,অনুগ্ৰহ কৰি সামগ্ৰী নিৰ্ধাৰণ কৰক,ଦୟାକରି ଉତ୍ପାଦ ନିର୍ଦ୍ଦିଷ୍ଟ କରନ୍ତୁ,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,